state,death
Alaska,143
Alabama,3889
Arkansas,2660
Arizona,6950
California,19876
Colorado,2724
Connecticut,5146
Columbia,697
Delaware,793
Florida,19423
Georgia,9806
Hawaii,262
Iowa,2683
Idaho,1032
Illinois,14116
Indiana,6242
Kansas,1786
Kentucky,2072
Louisiana,6584
Massachusetts,11004
Maryland,4846
Maine,227
Michigan,10321
Minnesota,3984
Missouri,4192
Mississippi,3961
Montana,736
North Carolina,5543
North Dakota,1019
Nebraska,1194
New hampshire,564
New jersey,17321
New mexico,1749
Nevada,2315
New York,27149
Ohio,6959
Oklahoma,1896
Oregon,1033
Pennsylvania,11331
Rhode island,1413
South carolina,4566
South dakota,1110
Tennessee,4943
Texas,22594
Utah,939
Virginia,4200
Vermont,79
Washington,2925
Wisconsin,3952
West Virginia,838
Wyoming,257